# generated 2026-04-15T17:54:59.544966
model,tone,round,compliant,reason,lex_jaccard_global,syn_jaccard_global,tfidf_cos_global,lex_jaccard_local,syn_jaccard_local,tfidf_cos_local,lex_jaccard_jort,syn_jaccard_jort,tfidf_cos_jort
ChatGPT 5.1 (Auto),Supportive,0,True,ok,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,0.0,0.06666666666666667,0.11370964687907466
ChatGPT 5.1 (Auto),Supportive,1,True,ok,0.3333333333333333,0.6666666666666666,0.5519850541454904,0.3333333333333333,0.6666666666666666,0.5519850541454904,0.0,0.13333333333333333,0.15046032995764352
ChatGPT 5.1 (Auto),Supportive,2,True,ok,0.09090909090909091,0.25,0.48375313334085385,0.09090909090909091,0.25,0.3608439182435161,0.0,0.06666666666666667,0.2134972568110295
ChatGPT 5.1 (Auto),Supportive,3,True,ok,0.09090909090909091,0.1,0.3407753417123044,0.2,0.2222222222222222,0.5421374765483943,0.047619047619047616,0.1111111111111111,0.22484852705437272
ChatGPT 5.1 (Auto),Supportive,4,True,ok,0.09090909090909091,0.25,0.46808238975153255,0.09090909090909091,0.2222222222222222,0.38282624716101743,0.0,0.06666666666666667,0.16614185479572974
ChatGPT 5.1 (Auto),Supportive,5,True,ok,0.3333333333333333,0.42857142857142855,0.6587028190078753,0.09090909090909091,0.25,0.40722459011338547,0.047619047619047616,0.13333333333333333,0.22200991273295423
ChatGPT 5.1 (Auto),Supportive,6,True,ok,0.0,0.25,0.43041423101055826,0.09090909090909091,0.6666666666666666,0.6626889364596515,0.0,0.06666666666666667,0.18494654252269369
ChatGPT 5.1 (Auto),Supportive,7,True,ok,0.09090909090909091,0.25,0.40893041005476527,0.0,0.25,0.2826504985805369,0.0,0.06666666666666667,0.12795835934220912
ChatGPT 5.1 (Auto),Supportive,8,True,ok,0.09090909090909091,0.1,0.39819540137629,0.09090909090909091,0.2222222222222222,0.39417108466980405,0.0,0.05555555555555555,0.15877683720748895
ChatGPT 5.1 (Auto),Supportive,9,True,ok,0.3333333333333333,0.5714285714285714,0.6203028623387458,0.09090909090909091,0.2,0.3660701475689823,0.0,0.1111111111111111,0.16212476929331174
ChatGPT 5.1 (Auto),Supportive,10,True,ok,0.09090909090909091,0.2222222222222222,0.5058473835745366,0.2,0.3333333333333333,0.5448919310237998,0.0,0.05555555555555555,0.13198601681264874
ChatGPT 5.1 (Auto),Mild Rejection,0,True,ok,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.0,0.05555555555555555,0.12037773258399571
ChatGPT 5.1 (Auto),Mild Rejection,1,True,ok,0.0,0.375,0.13741414298257462,0.0,0.375,0.13741414298257462,0.0,0.06666666666666667,0.09318918245853558
ChatGPT 5.1 (Auto),Mild Rejection,2,True,ok,0.09090909090909091,0.2,0.4651104080229325,0.0,0.2222222222222222,0.14585216876555052,0.0,0.0,0.14967827105071282
ChatGPT 5.1 (Auto),Mild Rejection,3,True,ok,0.0,0.3333333333333333,0.14560190658208844,0.0,0.09090909090909091,0.16999697941934994,0.047619047619047616,0.05555555555555555,0.08411582311380665
ChatGPT 5.1 (Auto),Mild Rejection,4,True,ok,0.09090909090909091,0.3333333333333333,0.40834799697175195,0.09090909090909091,0.2,0.2811165674121898,0.0,0.05555555555555555,0.10055688745724765
ChatGPT 5.1 (Auto),Mild Rejection,5,True,ok,0.2,0.3333333333333333,0.5309473432788778,0.0,0.2,0.14707472779848213,0.0,0.1111111111111111,0.15995735039241835
ChatGPT 5.1 (Auto),Mild Rejection,6,True,ok,0.09090909090909091,0.2222222222222222,0.3396562312632976,0.0,0.2222222222222222,0.23198152920607618,0.0,0.13333333333333333,0.2442114840102112
ChatGPT 5.1 (Auto),Mild Rejection,7,True,ok,0.0,0.0,0.1192497615007155,0.0,0.1,0.26702587309361697,0.0,0.05555555555555555,0.11820135721116255
ChatGPT 5.1 (Auto),Mild Rejection,8,True,ok,0.5,0.5,0.753776270226745,0.0,0.09090909090909091,0.125,0.0,0.1111111111111111,0.17363124537627206
ChatGPT 5.1 (Auto),Mild Rejection,9,True,ok,0.0,0.0,0.1884678115330366,0.0,0.09090909090909091,0.254000254000381,0.047619047619047616,0.05555555555555555,0.14601649138756082
ChatGPT 5.1 (Auto),Mild Rejection,10,True,ok,0.0,0.0,0.30406555008417774,0.0,0.2,0.34912662591337684,0.0,0.05555555555555555,0.18958366996019196
ChatGPT 5.1 (Auto),Strong Rejection,0,True,ok,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.0,0.05555555555555555,0.11530689961937189
ChatGPT 5.1 (Auto),Strong Rejection,1,True,ok,0.0,0.1,0.3300299485208326,0.0,0.1,0.3300299485208326,0.0,0.06666666666666667,0.14603748643046263
ChatGPT 5.1 (Auto),Strong Rejection,2,True,ok,0.2,0.375,0.48916640977425857,0.09090909090909091,0.25,0.3038024971663591,0.0,0.06666666666666667,0.07804881763180783
ChatGPT 5.1 (Auto),Strong Rejection,3,True,ok,0.09090909090909091,0.09090909090909091,0.4732926061288094,0.2,0.2222222222222222,0.4661472225410195,0.0,0.05555555555555555,0.12647957504963792
ChatGPT 5.1 (Auto),Strong Rejection,4,True,ok,0.09090909090909091,0.09090909090909091,0.42002086349751233,0.0,0.09090909090909091,0.2672612419124244,0.0,0.1111111111111111,0.15346702582063015
ChatGPT 5.1 (Auto),Strong Rejection,5,True,ok,0.0,0.09090909090909091,0.2689132913873451,0.0,0.09090909090909091,0.24227185592617448,0.047619047619047616,0.1111111111111111,0.1951848051487617
ChatGPT 5.1 (Auto),Strong Rejection,6,True,ok,0.09090909090909091,0.2,0.23936540474036477,0.0,0.09090909090909091,0.26711222531767115,0.0,0.05555555555555555,0.050435627722400206
ChatGPT 5.1 (Auto),Strong Rejection,7,True,ok,0.09090909090909091,0.09090909090909091,0.2950789855109381,0.0,0.0,0.14508582304931125,0.0,0.05555555555555555,0.1033715710657806
ChatGPT 5.1 (Auto),Strong Rejection,8,True,ok,0.0,0.0,0.3481625481870403,0.09090909090909091,0.09090909090909091,0.35432315721449553,0.0,0.05555555555555555,0.09863372016113704
ChatGPT 5.1 (Auto),Strong Rejection,9,True,ok,0.2,0.2,0.5442826754196193,0.09090909090909091,0.09090909090909091,0.3676277558238194,0.0,0.05555555555555555,0.1036382336257281
ChatGPT 5.1 (Auto),Strong Rejection,10,True,ok,0.0,0.0,0.3230811713779822,0.0,0.09090909090909091,0.2147944456806893,0.0,0.1111111111111111,0.19716539161822857
ChatGPT 5.1 (Auto),With Lens (Carter),0,True,ok,1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,0.0,0.05555555555555555,0.12037773258399571
ChatGPT 5.1 (Auto),With Lens (Carter),1,True,ok,0.5,0.5,0.7679092270709554,0.5,0.5,0.7679092270709554,0.0,0.1111111111111111,0.164573697686148
ChatGPT 5.1 (Auto),With Lens (Carter),2,True,ok,0.18181818181818182,0.18181818181818182,0.564629115355524,0.3,0.3,0.6288082227054205,0.0,0.047619047619047616,0.18040356859643
ChatGPT 5.1 (Auto),With Lens (Carter),3,True,ok,0.08333333333333333,0.08333333333333333,0.31007360534862166,0.0,0.07692307692307693,0.20353605946582753,0.0,0.047619047619047616,0.16763156178700125
