# generated 2026-04-15T17:54:59.482491
model,scholar_a,scholar_b,lex_jaccard,syn_jaccard,tfidf_cos
ChatGPT 5 (Auto),Hunt,Pan,0.3333333333333333,0.3333333333333333,0.7934437473018804
ChatGPT 5 (Auto),Hunt,Mowen,0.5,0.5,0.8446419527282335
ChatGPT 5 (Auto),Hunt,Fletcher,0.2,0.3333333333333333,0.7845747599539732
ChatGPT 5 (Auto),Hunt,Escobar,0.2,0.5,0.7661308776828738
ChatGPT 5 (Auto),Hunt,Crompton,0.2,0.3333333333333333,0.7350970723893082
ChatGPT 5 (Auto),Pan,Mowen,0.2,0.5,0.6949370683737294
ChatGPT 5 (Auto),Pan,Fletcher,0.09090909090909091,0.2,0.7109537526859535
ChatGPT 5 (Auto),Pan,Escobar,0.09090909090909091,0.3333333333333333,0.6927427401850462
ChatGPT 5 (Auto),Pan,Crompton,0.2,0.3333333333333333,0.7316611435408843
ChatGPT 5 (Auto),Mowen,Fletcher,0.09090909090909091,0.2,0.6972363141380615
ChatGPT 5 (Auto),Mowen,Escobar,0.0,0.2,0.6182327719895293
ChatGPT 5 (Auto),Mowen,Crompton,0.2,0.2,0.717544167947908
ChatGPT 5 (Auto),Fletcher,Escobar,0.2,0.2,0.7148061020502748
ChatGPT 5 (Auto),Fletcher,Crompton,0.09090909090909091,0.09090909090909091,0.6330935251798563
ChatGPT 5 (Auto),Escobar,Crompton,0.09090909090909091,0.3333333333333333,0.6498237291366135
ChatGPT 5  (Thinking+Study),Hunt,Pan,0.3333333333333333,0.5,0.7850454103402531
ChatGPT 5  (Thinking+Study),Hunt,Mowen,0.3333333333333333,0.5,0.7782066599596831
ChatGPT 5  (Thinking+Study),Hunt,Fletcher,0.09090909090909091,0.3333333333333333,0.562962962962963
ChatGPT 5  (Thinking+Study),Hunt,Escobar,0.2,0.2,0.6693419514856722
ChatGPT 5  (Thinking+Study),Hunt,Crompton,0.09090909090909091,0.09090909090909091,0.6525396337224845
ChatGPT 5  (Thinking+Study),Pan,Mowen,0.3333333333333333,0.3333333333333333,0.8002403485107557
ChatGPT 5  (Thinking+Study),Pan,Fletcher,0.09090909090909091,0.3333333333333333,0.5812355441942259
ChatGPT 5  (Thinking+Study),Pan,Escobar,0.09090909090909091,0.2,0.5794118811569369
ChatGPT 5  (Thinking+Study),Pan,Crompton,0.2,0.2,0.6929688171048297
ChatGPT 5  (Thinking+Study),Mowen,Fletcher,0.09090909090909091,0.5,0.5942669039692126
ChatGPT 5  (Thinking+Study),Mowen,Escobar,0.09090909090909091,0.2,0.5842786932462893
ChatGPT 5  (Thinking+Study),Mowen,Crompton,0.09090909090909091,0.09090909090909091,0.5904210401467415
ChatGPT 5  (Thinking+Study),Fletcher,Escobar,0.5,0.5,0.8204836824663079
ChatGPT 5  (Thinking+Study),Fletcher,Crompton,0.0,0.09090909090909091,0.4808186774797254
ChatGPT 5  (Thinking+Study),Escobar,Crompton,0.0,0.0,0.560610775559101
Claude (Sonnet 4),Hunt,Pan,0.3333333333333333,0.5,0.7893101712891323
Claude (Sonnet 4),Hunt,Mowen,0.3333333333333333,0.5,0.7641837697680016
Claude (Sonnet 4),Hunt,Fletcher,0.3333333333333333,0.3333333333333333,0.7677718959499146
Claude (Sonnet 4),Hunt,Escobar,0.0,0.08333333333333333,0.5820652884342099
Claude (Sonnet 4),Hunt,Crompton,0.7142857142857143,0.7142857142857143,0.9448090244404383
Claude (Sonnet 4),Pan,Mowen,0.7142857142857143,0.7142857142857143,0.915830107090562
Claude (Sonnet 4),Pan,Fletcher,0.3333333333333333,0.3333333333333333,0.7641575566981254
Claude (Sonnet 4),Pan,Escobar,0.0,0.0,0.5422300460310107
Claude (Sonnet 4),Pan,Crompton,0.3333333333333333,0.5,0.7676811191788534
Claude (Sonnet 4),Mowen,Fletcher,0.3333333333333333,0.3333333333333333,0.7800693425791476
Claude (Sonnet 4),Mowen,Escobar,0.0,0.08333333333333333,0.5587631127912939
Claude (Sonnet 4),Mowen,Crompton,0.3333333333333333,0.5,0.7432432432432434
Claude (Sonnet 4),Fletcher,Escobar,0.0,0.08333333333333333,0.5513619500836089
Claude (Sonnet 4),Fletcher,Crompton,0.3333333333333333,0.3333333333333333,0.746733045887731
Claude (Sonnet 4),Escobar,Crompton,0.0,0.18181818181818182,0.5808195514541081
Claude (Sonnet 4) Reaserch + Extended Thinking,Hunt,Pan,0.09090909090909091,0.125,0.5831111872674182
Claude (Sonnet 4) Reaserch + Extended Thinking,Hunt,Mowen,0.0,0.0,0.5583910453726476
Claude (Sonnet 4) Reaserch + Extended Thinking,Hunt,Fletcher,0.0,0.0,0.5567306167185677
Claude (Sonnet 4) Reaserch + Extended Thinking,Hunt,Escobar,0.0,0.0,0.5704791219417487
Claude (Sonnet 4) Reaserch + Extended Thinking,Hunt,Crompton,0.0,0.125,0.5923380904216893
Claude (Sonnet 4) Reaserch + Extended Thinking,Pan,Mowen,0.0,0.2,0.5568699628114133
Claude (Sonnet 4) Reaserch + Extended Thinking,Pan,Fletcher,0.09090909090909091,0.2,0.5771304016051305
Claude (Sonnet 4) Reaserch + Extended Thinking,Pan,Escobar,0.0,0.0,0.5694796188164549
Claude (Sonnet 4) Reaserch + Extended Thinking,Pan,Crompton,0.09090909090909091,0.3333333333333333,0.6790588844744284
Claude (Sonnet 4) Reaserch + Extended Thinking,Mowen,Fletcher,0.09090909090909091,0.3333333333333333,0.6925786940080685
Claude (Sonnet 4) Reaserch + Extended Thinking,Mowen,Escobar,0.0,0.09090909090909091,0.5734803861861232
Claude (Sonnet 4) Reaserch + Extended Thinking,Mowen,Crompton,0.2,0.3333333333333333,0.7163841275755554
Claude (Sonnet 4) Reaserch + Extended Thinking,Fletcher,Escobar,0.0,0.0,0.529774325314918
Claude (Sonnet 4) Reaserch + Extended Thinking,Fletcher,Crompton,0.2,0.3333333333333333,0.7586928636339919
Claude (Sonnet 4) Reaserch + Extended Thinking,Escobar,Crompton,0.0,0.0,0.5724703291195777
