# generated (best-match per-theme Jaccard against JORT; row-max-mean)
scholar,model_full,mode,theme1_best,theme2_best,theme3_best,rmm_syn_jaccard
Hunt,ChatGPT 5 (Auto),CG-A,0.0,0.0,0.5,0.16666666666666666
Pan,ChatGPT 5 (Auto),CG-A,0.0,0.0,0.5,0.16666666666666666
Mowen,ChatGPT 5 (Auto),CG-A,0.5,0.0,0.5,0.3333333333333333
Fletcher,ChatGPT 5 (Auto),CG-A,0.0,0.0,0.0,0.0
Escobar,ChatGPT 5 (Auto),CG-A,0.0,0.0,0.0,0.0
Crompton,ChatGPT 5 (Auto),CG-A,1.0,0.0,0.0,0.3333333333333333
Hunt,ChatGPT 5  (Thinking+Study),CG-T+S,0.5,0.0,0.0,0.16666666666666666
Pan,ChatGPT 5  (Thinking+Study),CG-T+S,0.0,0.0,0.0,0.0
Mowen,ChatGPT 5  (Thinking+Study),CG-T+S,0.5,0.0,0.0,0.16666666666666666
Fletcher,ChatGPT 5  (Thinking+Study),CG-T+S,0.3333333333333333,0.0,0.0,0.1111111111111111
Escobar,ChatGPT 5  (Thinking+Study),CG-T+S,0.0,0.5,0.0,0.16666666666666666
Crompton,ChatGPT 5  (Thinking+Study),CG-T+S,0.0,0.0,0.0,0.0
Hunt,Claude (Sonnet 4),Cl-S4.5,0.0,0.0,0.0,0.0
Pan,Claude (Sonnet 4),Cl-S4.5,0.5,0.0,0.0,0.16666666666666666
Mowen,Claude (Sonnet 4),Cl-S4.5,0.5,0.0,0.0,0.16666666666666666
Fletcher,Claude (Sonnet 4),Cl-S4.5,0.0,0.5,0.0,0.16666666666666666
Escobar,Claude (Sonnet 4),Cl-S4.5,0.5,0.0,0.0,0.16666666666666666
Crompton,Claude (Sonnet 4),Cl-S4.5,0.0,0.0,0.0,0.0
Hunt,Claude (Sonnet 4) Reaserch + Extended Thinking,Cl-R+ET,1.0,1.0,1.0,1.0
Pan,Claude (Sonnet 4) Reaserch + Extended Thinking,Cl-R+ET,0.5,0.0,0.0,0.16666666666666666
Mowen,Claude (Sonnet 4) Reaserch + Extended Thinking,Cl-R+ET,0.0,0.0,0.0,0.0
Fletcher,Claude (Sonnet 4) Reaserch + Extended Thinking,Cl-R+ET,0.0,0.0,0.0,0.0
Escobar,Claude (Sonnet 4) Reaserch + Extended Thinking,Cl-R+ET,0.0,0.0,0.0,0.0
Crompton,Claude (Sonnet 4) Reaserch + Extended Thinking,Cl-R+ET,0.5,0.0,0.0,0.16666666666666666
